x1,y1,z1,x2,y2,z2,pore
0,0,0,66.1045014,17.5465536,-0.6030538,6.152
66.1045014,17.5465536,-0.6030538,124.0914855,30.4868092,66.269984,6.152
177.0347193,30.4868092,66.269984,124.0914855,30.4868092,66.269984,6.152
0,0,0,-83.9368285,-21.1025785,-42.7953248,6.152
-83.9368285,-21.1025785,-42.7953248,1.1572599,-66.8434618,-46.4314214,6.152
1.1572599,-66.8434618,-46.4314214,62.4638004,-74.8795821,-43.2366289,6.152
62.4638004,-74.8795821,-43.2366289,40.8763866,-62.8658615,2.667441,6.152
40.8763866,-62.8658615,2.667441,-3.8469949,-97.5532284,67.109851,6.152
-3.8469949,-97.5532284,67.109851,-118.403913,-65.6112237,81.760504,6.152
-118.403913,-65.6112237,81.760504,-160.7525193,-118.6720745,-7.125869,6.152
-177.0347193,-118.6720745,-7.125869,-160.7525193,-118.6720745,-7.125869,6.152
